orderID,candidate_address,score,explanation
4759846,40 Kingston Cres,3.962482452392578,same property type = matched; effective age diff impact = 1.07; abs room count diff impact = 1.01
4759846,36 Mount Pleasant Ave,2.761664390563965,same property type = matched; effective age diff impact = 0.93; abs room count diff impact = 0.67
4759846,2 Lawnsdale Dr,0.6628917455673218,same property type = matched; effective age diff impact = 1.10; gla diff impact = 0.59
4760530,11 Union St,2.0347352027893066,same property type = matched; effective age diff impact = 1.07; room count diff impact = 0.58
4760530,3948 Vandorf Siderd,1.6496819257736206,same property type = matched; room count diff impact = 0.82; abs room count diff impact = 0.61
4760530,9 Elias Snider Crt,1.0090192556381226,effective age diff impact = 1.29; same property type = matched; subject age diff impact = 0.59
4760630,133 William St,-0.19855374097824097,effective age diff impact = 1.53; same property type = matched; subject age diff impact = 0.73
4760630,297 University Ave,-0.7441708445549011,effective age diff impact = 1.48; same property type = matched; subject age diff impact = 0.56
4760630,368 Barrie St,-1.291398525238037,effective age diff impact = 1.55; same property type = matched; subject age diff impact = 0.48
4760651,4 Victoria Dr,3.678164005279541,same property type = matched; gla diff impact = 0.75; abs room count diff impact = 0.74
4760651,9 Penstock Crt,3.6730120182037354,same property type = matched; abs room count diff impact = 0.96; room count diff impact = 0.68
4760651,57 Taleen Dr,3.122715950012207,same property type = matched; abs room count diff impact = 0.79; effective age diff impact = 0.70
4760900,90 Corner Ridge Mews NE,3.5405187606811523,same property type = matched; abs room count diff impact = 1.08; abs subject age diff impact = 0.82
4760900,312 Redstone Ave NE,3.499894142150879,same property type = matched; abs room count diff impact = 1.02; subject age diff impact = 0.81
4760900,1059 Cornerstone St NE,2.1000943183898926,same property type = matched; abs subject age diff impact = 1.06; abs room count diff impact = 0.80
4761220,74 Gianmarco Way,3.2702341079711914,same property type = matched; abs room count diff impact = 0.89; effective age diff impact = 0.82
4761220,20 Del Francesco Way,2.985048294067383,same property type = matched; abs room count diff impact = 0.80; gla diff impact = 0.69
4761220,3 Blackthorn Dr,2.6946327686309814,same property type = matched; abs room count diff impact = 0.82; effective age diff impact = 0.67
4761433,107 Ahmadi Cres,1.7532278299331665,same property type = matched; effective age diff impact = 1.11; gla diff impact = 0.63
4761433,428 Heddas Way,1.7049784660339355,same property type = matched; room count diff impact = 0.87; subject age diff impact = 0.71
4761433,158 Eaglewood Dr,1.4389803409576416,same property type = matched; effective age diff impact = 0.87; room count diff impact = 0.66
4761446,891 Safari Dr,1.168379545211792,effective age diff impact = 1.70; same property type = matched; abs effective age diff impact = 0.45
4761446,868 Roshan Dr,0.799447774887085,same property type = matched; effective age diff impact = 0.94; gla diff impact = 0.70
4761446,871 Crestwood Ave,-0.5184438228607178,same property type = matched; effective age diff impact = 1.10; gla diff impact = 0.45
4761696,225 Lift Lane,3.8474862575531006,same property type = matched; abs room count diff impact = 0.93; abs subject age diff impact = 0.88
4761696,514 Triangle St,3.317105770111084,same property type = matched; abs room count diff impact = 0.91; abs subject age diff impact = 0.88
4761696,655 Allied Mews,2.795809030532837,same property type = matched; abs subject age diff impact = 1.21; abs room count diff impact = 0.94
4762154,401-11 Springvale Ave,3.6323788166046143,same property type = matched; abs room count diff impact = 0.89; effective age diff impact = 0.84
4762154,111-11 Springvale Ave,3.1928858757019043,same property type = matched; abs room count diff impact = 1.11; effective age diff impact = 0.74
4762154,306-79 Bedros Lane,3.033327102661133,same property type = matched; gla diff impact = 0.93; abs room count diff impact = 0.86
4762330,118 Sandpiper Pk,3.1859970092773438,same property type = matched; abs room count diff impact = 1.14; effective age diff impact = 0.76
4762330,109 Kinniburgh Cove,3.051063060760498,same property type = matched; abs subject age diff impact = 1.04; effective age diff impact = 0.75
4762330,19 Sandpiper Bend,2.6055853366851807,same property type = matched; abs room count diff impact = 0.78; abs subject age diff impact = 0.75
4762406,401 Viewmount Dr,1.244979977607727,same property type = matched; effective age diff impact = 1.07; room count diff impact = 0.78
4762406,2 Crouchers Point Rd,1.1443145275115967,same property type = matched; effective age diff impact = 1.10; sold recently impact = 0.55
4762406,58 Blind Bay Dr,-0.017751717939972878,same property type = matched; effective age diff impact = 1.01; room count diff impact = 0.69
