orderID,candidate_address,is_comp,subject_address,bath_score_diff,full_baths_diff,half_baths_diff,room_count_diff,bedrooms_diff,effective_age_diff,subject_age_diff,lot_size_sf_diff,gla_diff,abs_bath_score_diff,abs_full_bath_diff,abs_half_bath_diff,abs_room_count_diff,abs_bedrooms_diff,abs_effective_age_diff,abs_subject_age_diff,abs_lot_size_sf_diff,abs_gla_diff,distance_to_subject_km,same_property_type,sold_recently
4758529,Unit 806 - 1 The Esplanade ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,926.0,,,,1.0,0.0,,,,926.0,,0.0,1
4758529,Unit 1806 - 81 Wellesley Street E ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,5.0,,,,,926.0,,,,5.0,,,,,926.0,,0.0,1
4758529,Unit 1910 - 18 Harbour Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,-1.0,,,,76.0,,,,1.0,1.0,,,,76.0,,0.0,1
4758529,Unit 3106 - 327 King Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,3.0,1.0,,,,626.0,,,,3.0,1.0,,,,626.0,,0.0,1
4758529,Unit 307 - 401 Queens Quay W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-2.0,-1.0,,,,-524.0,,,,2.0,1.0,,,,524.0,,0.0,1
4758529,Unit PH101 - 30 Nelson Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-1.0,-1.0,,,,-1199.0,,,,1.0,1.0,,,,1199.0,,0.0,1
4758529,Unit 5310 - 197 Yonge Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,526.0,,,,1.0,0.0,,,,526.0,,0.0,1
4758529,140 St John Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,-2.0,,,,276.0,,,,2.0,2.0,,,,276.0,,0.0,1
4758529,Unit 2904 - 25 The Esplanade ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,0.0,0.0,,,,-124.0,,,,0.0,0.0,,,,124.0,,0.0,1
4758529,99 Bellwoods Avenue ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-1.0,-1.0,,,,-574.0,,,,1.0,1.0,,,,574.0,,0.0,1
4758529,Unit 1101 - 80 John Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,0.0,,,,526.0,,,,2.0,0.0,,,,526.0,,0.0,1
4758529,Unit 305 - 320 Richmond Street E ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,326.0,,,,1.0,0.0,,,,326.0,,0.0,1
4758529,138C Euclid Avenue ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,0.0,-2.0,,,,-574.0,,,,0.0,2.0,,,,574.0,,0.0,1
4758529,Unit A-41 - 15 Fort York Boulevard ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-3.0,,,,,,,,,3.0,,,,,,,0.0,1
